#,Visible?,Starred?,Identified Proteins (1591),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,5848 - #1 - Exp,5848 - #2 - Exp,5848 - #3 - Exp,5848 - #4 - Exp
1306,TRUE,Empty,Forkhead box protein K1 OS=Homo sapiens OX=9606 GN=FOXK1 PE=1 SV=1,sp|P85037|FOXK1_HUMAN,,75 kDa,TRUE,unknown,3,0,0,0
1310,TRUE,Empty,Endoribonuclease Dicer OS=Homo sapiens OX=9606 GN=DICER1 PE=1 SV=3,sp|Q9UPY3|DICER_HUMAN,,219 kDa,TRUE,unknown,3,0,0,0
1319,TRUE,Empty,Myotubularin-related protein 5 OS=Homo sapiens OX=9606 GN=SBF1 PE=1 SV=4,sp|O95248|MTMR5_HUMAN,,208 kDa,,unknown,3,0,0,0
1322,TRUE,Empty,Origin recognition complex subunit 3 OS=Homo sapiens OX=9606 GN=ORC3 PE=1 SV=1,sp|Q9UBD5|ORC3_HUMAN,,82 kDa,,unknown,3,0,0,0
1330,TRUE,Empty,*REV*Syndecan-3 OS=Homo sapiens OX=9606 GN=SDC3 PE=1 SV=2,r-sp|O75056|SDC3_HUMAN,,45 kDa,,unknown,3,0,0,0
1332,TRUE,Empty,OTU domain-containing protein 4 OS=Homo sapiens OX=9606 GN=OTUD4 PE=1 SV=4,sp|Q01804|OTUD4_HUMAN,,124 kDa,,unknown,3,0,0,0
1352,TRUE,Empty,YTH domain-containing family protein 2 OS=Homo sapiens OX=9606 GN=YTHDF2 PE=1 SV=2,sp|Q9Y5A9|YTHD2_HUMAN,,62 kDa,TRUE,unknown,3,0,0,0
1398,TRUE,Empty,*REV*Little elongation complex subunit 1 OS=Homo sapiens OX=9606 GN=ICE1 PE=1 SV=5,r-sp|Q9Y2F5|ICE1_HUMAN,,248 kDa,TRUE,unknown,3,0,0,0
1401,TRUE,Empty,28S rRNA (cytosine-C(5))-methyltransferase OS=Homo sapiens OX=9606 GN=NSUN5 PE=1 SV=2,sp|Q96P11|NSUN5_HUMAN,,47 kDa,,unknown,3,0,0,0
1438,TRUE,Empty,Rapamycin-insensitive companion of mTOR OS=Homo sapiens OX=9606 GN=RICTOR PE=1 SV=1,sp|Q6R327|RICTR_HUMAN,,192 kDa,,unknown,3,0,0,0
1442,TRUE,Empty,DnaJ homolog subfamily B member 12 OS=Homo sapiens OX=9606 GN=DNAJB12 PE=1 SV=5,sp|Q9NXW2|DJB12_HUMAN,,42 kDa,TRUE,unknown,3,0,0,0
1445,TRUE,Empty,Zinc finger protein ubi-d4 OS=Homo sapiens OX=9606 GN=DPF2 PE=1 SV=2,sp|Q92785|REQU_HUMAN (+1),,44 kDa,,unknown,3,0,0,0
1448,TRUE,Empty,PRR5-ARHGAP8 readthrough OS=Homo sapiens OX=9606 GN=PRR5-ARHGAP8 PE=3 SV=1,tr|B1AHC4|B1AHC4_HUMAN,,73 kDa,,unknown,3,0,0,0
1454,TRUE,Empty,EVI5-like protein OS=Homo sapiens OX=9606 GN=EVI5L PE=1 SV=1,sp|Q96CN4|EVI5L_HUMAN,,91 kDa,,unknown,3,0,0,0
1456,TRUE,Empty,Mediator of RNA polymerase II transcription subunit 23 OS=Homo sapiens OX=9606 GN=MED23 PE=1 SV=2,sp|Q9ULK4|MED23_HUMAN (+1),,156 kDa,,unknown,3,0,0,0
1459,TRUE,Empty,WD repeat-containing protein 92 OS=Homo sapiens OX=9606 GN=WDR92 PE=1 SV=1,sp|Q96MX6|WDR92_HUMAN,,40 kDa,,unknown,3,0,0,0
1460,TRUE,Empty,Gamma-adducin OS=Homo sapiens OX=9606 GN=ADD3 PE=1 SV=1,sp|Q9UEY8|ADDG_HUMAN,,79 kDa,,unknown,3,0,0,0
1464,TRUE,Empty,Protein SOGA1 OS=Homo sapiens OX=9606 GN=SOGA1 PE=1 SV=2,sp|O94964|SOGA1_HUMAN (+1),,160 kDa,,unknown,3,0,0,0
1466,TRUE,Empty,Opiorphin prepropeptide OS=Homo sapiens OX=9606 GN=OPRPN PE=1 SV=2,sp|Q99935|PROL1_HUMAN,,27 kDa,,unknown,3,0,0,0
1468,TRUE,Empty,Transcriptional repressor protein YY1 OS=Homo sapiens OX=9606 GN=YY1 PE=1 SV=2,sp|P25490|TYY1_HUMAN,,45 kDa,,unknown,3,0,0,0
1469,TRUE,Empty,Protein UXT OS=Homo sapiens OX=9606 GN=UXT PE=1 SV=1,sp|Q9UBK9|UXT_HUMAN,,18 kDa,,unknown,3,0,0,0
1483,TRUE,Empty,*REV*Trinucleotide repeat-containing gene 6C protein OS=Homo sapiens OX=9606 GN=TNRC6C PE=1 SV=3,r-sp|Q9HCJ0|TNR6C_HUMAN,,176 kDa,,unknown,3,0,0,0
45,TRUE,Empty,"Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3",sp|P02538|K2C6A_HUMAN,,60 kDa,TRUE,unknown,2,4,0,2
82,TRUE,Empty,"Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7",sp|P05787|K2C8_HUMAN,,54 kDa,TRUE,unknown,2,0,1,0
87,TRUE,Empty,Histone H2B type 2-E OS=Homo sapiens OX=9606 GN=H2BC21 PE=1 SV=3,sp|Q16778|H2B2E_HUMAN,,14 kDa,TRUE,unknown,2,0,1,3
136,TRUE,Empty,Lamin-B1 OS=Homo sapiens OX=9606 GN=LMNB1 PE=1 SV=2,sp|P20700|LMNB1_HUMAN,,66 kDa,TRUE,unknown,2,1,30,34
178,TRUE,Empty,Eukaryotic initiation factor 4A-III OS=Homo sapiens OX=9606 GN=EIF4A3 PE=1 SV=4,sp|P38919|IF4A3_HUMAN,,47 kDa,TRUE,unknown,2,3,22,37
180,TRUE,Empty,Myosin-10 OS=Homo sapiens OX=9606 GN=MYH10 PE=1 SV=3,sp|P35580|MYH10_HUMAN,,229 kDa,TRUE,unknown,2,11,0,5
214,TRUE,Empty,Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3,sp|P08133|ANXA6_HUMAN,,76 kDa,TRUE,unknown,2,1,10,37
217,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens OX=9606 GN=HNRNPH2 PE=1 SV=1,sp|P55795|HNRH2_HUMAN,,49 kDa,TRUE,unknown,2,0,2,7
243,TRUE,Empty,60S ribosomal protein L4 OS=Homo sapiens OX=9606 GN=RPL4 PE=1 SV=5,sp|P36578|RL4_HUMAN,,48 kDa,,unknown,2,0,8,33
270,TRUE,Empty,"Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=LARS1 PE=1 SV=2",sp|Q9P2J5|SYLC_HUMAN (+1),,134 kDa,,unknown,2,35,0,0
322,TRUE,Empty,60S ribosomal protein L6 OS=Homo sapiens OX=9606 GN=RPL6 PE=1 SV=3,sp|Q02878|RL6_HUMAN,,33 kDa,,unknown,2,1,5,26
340,TRUE,Empty,Eukaryotic initiation factor 4A-I OS=Homo sapiens OX=9606 GN=EIF4A1 PE=1 SV=1,sp|P60842|IF4A1_HUMAN,,46 kDa,TRUE,unknown,2,11,3,9
456,TRUE,Empty,Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens OX=9606 GN=IQGAP1 PE=1 SV=1,sp|P46940|IQGA1_HUMAN,,189 kDa,TRUE,unknown,2,12,0,3
468,TRUE,Empty,Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1,sp|P15927|RFA2_HUMAN,,29 kDa,,unknown,2,20,0,0
473,TRUE,Empty,Delta-1-pyrroline-5-carboxylate synthase OS=Homo sapiens OX=9606 GN=ALDH18A1 PE=1 SV=2,sp|P54886|P5CS_HUMAN,,87 kDa,,unknown,2,1,1,19
491,TRUE,Empty,Polyadenylate-binding protein 1 OS=Homo sapiens OX=9606 GN=PABPC1 PE=1 SV=2,sp|P11940|PABP1_HUMAN (+1),,71 kDa,TRUE,unknown,2,1,0,4
497,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein U-like protein 1 OS=Homo sapiens OX=9606 GN=HNRNPUL1 PE=1 SV=2,sp|Q9BUJ2|HNRL1_HUMAN,,96 kDa,TRUE,unknown,2,1,11,7
527,TRUE,Empty,sp|ANXA5_HUMAN|,sp|ANXA5_HUMAN| (+1),,36 kDa,TRUE,unknown,2,2,2,10
531,TRUE,Empty,Collagen alpha-1(VII) chain OS=Homo sapiens OX=9606 GN=COL7A1 PE=1 SV=2,sp|Q02388|CO7A1_HUMAN,,295 kDa,TRUE,unknown,2,2,0,2
563,TRUE,Empty,Nuclear cap-binding protein subunit 1 OS=Homo sapiens OX=9606 GN=NCBP1 PE=1 SV=1,sp|Q09161|NCBP1_HUMAN,,92 kDa,,unknown,2,6,2,4
581,TRUE,Empty,Very-long-chain enoyl-CoA reductase OS=Homo sapiens OX=9606 GN=TECR PE=1 SV=1,sp|Q9NZ01|TECR_HUMAN,,36 kDa,,unknown,2,2,4,7
586,TRUE,Empty,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Homo sapiens OX=9606 GN=RPN2 PE=1 SV=3,sp|P04844|RPN2_HUMAN,,69 kDa,,unknown,2,6,0,8
587,TRUE,Empty,60S ribosomal protein L26 OS=Homo sapiens OX=9606 GN=RPL26 PE=1 SV=1,sp|P61254|RL26_HUMAN,,17 kDa,,unknown,2,0,3,11
595,TRUE,Empty,F-actin-capping protein subunit alpha-2 OS=Homo sapiens OX=9606 GN=CAPZA2 PE=1 SV=3,sp|P47755|CAZA2_HUMAN,,33 kDa,TRUE,unknown,2,10,0,0
608,TRUE,Empty,"Lon protease homolog, mitochondrial OS=Homo sapiens OX=9606 GN=LONP1 PE=1 SV=2",sp|P36776|LONM_HUMAN,,106 kDa,,unknown,2,12,0,2
613,TRUE,Empty,Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=3 SV=1,tr|A0A590UK80|A0A590UK80_HUMAN,,121 kDa,TRUE,unknown,2,0,1,9
622,TRUE,Empty,Calreticulin OS=Homo sapiens OX=9606 GN=CALR PE=1 SV=1,sp|P27797|CALR_HUMAN,,48 kDa,,unknown,2,11,0,0
636,TRUE,Empty,"Aldehyde dehydrogenase X, mitochondrial OS=Homo sapiens OX=9606 GN=ALDH1B1 PE=1 SV=3",sp|P30837|AL1B1_HUMAN,,57 kDa,,unknown,2,2,0,11
641,TRUE,Empty,Guanine nucleotide-binding protein-like 3 OS=Homo sapiens OX=9606 GN=GNL3 PE=1 SV=2,sp|Q9BVP2|GNL3_HUMAN,,62 kDa,,unknown,2,0,1,9
653,TRUE,Empty,L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2,sp|P00338|LDHA_HUMAN,,37 kDa,TRUE,unknown,2,9,0,0
654,TRUE,Empty,Myosin regulatory light chain 12B OS=Homo sapiens OX=9606 GN=MYL12B PE=1 SV=2,sp|O14950|ML12B_HUMAN (+2),,20 kDa,TRUE,unknown,2,13,0,0
674,TRUE,Empty,60S ribosomal protein L10a OS=Homo sapiens OX=9606 GN=RPL10A PE=1 SV=2,sp|P62906|RL10A_HUMAN,,25 kDa,,unknown,2,0,0,12
676,TRUE,Empty,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3,sp|P67936|TPM4_HUMAN,,29 kDa,TRUE,unknown,2,10,0,0
681,TRUE,Empty,*REV*WD repeat-containing protein 64 OS=Homo sapiens OX=9606 GN=WDR64 PE=2 SV=1,r-sp|B1ANS9|WDR64_HUMAN,,124 kDa,,unknown,2,0,8,0
698,TRUE,Empty,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2,sp|P07355|ANXA2_HUMAN,,39 kDa,,unknown,2,4,0,5
699,TRUE,Empty,Eukaryotic translation initiation factor 4E type 2 OS=Homo sapiens OX=9606 GN=EIF4E2 PE=1 SV=1,sp|O60573|IF4E2_HUMAN,,28 kDa,,unknown,2,10,0,1
700,TRUE,Empty,Metastasis-associated protein MTA3 OS=Homo sapiens OX=9606 GN=MTA3 PE=1 SV=1,tr|E7EQY4|E7EQY4_HUMAN (+1),,59 kDa,TRUE,unknown,2,1,0,1
716,TRUE,Empty,MMS19 nucleotide excision repair protein homolog OS=Homo sapiens OX=9606 GN=MMS19 PE=1 SV=2,sp|Q96T76|MMS19_HUMAN,,113 kDa,,unknown,2,9,0,0
719,TRUE,Empty,Nucleosome assembly protein 1-like 4 OS=Homo sapiens OX=9606 GN=NAP1L4 PE=1 SV=1,sp|Q99733|NP1L4_HUMAN,,43 kDa,TRUE,unknown,2,5,0,0
733,TRUE,Empty,Laminin subunit beta-1 OS=Homo sapiens OX=9606 GN=LAMB1 PE=1 SV=1,tr|G3XAI2|G3XAI2_HUMAN,,200 kDa,,unknown,2,5,0,4
734,TRUE,Empty,ER membrane protein complex subunit 1 OS=Homo sapiens OX=9606 GN=EMC1 PE=1 SV=1,sp|Q8N766|EMC1_HUMAN,,112 kDa,,unknown,2,2,0,6
736,TRUE,Empty,Alpha-actinin-1 OS=Homo sapiens OX=9606 GN=ACTN1 PE=1 SV=2,sp|P12814|ACTN1_HUMAN,,103 kDa,TRUE,unknown,2,6,0,2
738,TRUE,Empty,DNA topoisomerase 3-alpha OS=Homo sapiens OX=9606 GN=TOP3A PE=1 SV=1,sp|Q13472|TOP3A_HUMAN,,112 kDa,TRUE,unknown,2,0,1,8
746,TRUE,Empty,Proteasome subunit beta type-5 OS=Homo sapiens OX=9606 GN=PSMB5 PE=1 SV=3,sp|P28074|PSB5_HUMAN,,28 kDa,,unknown,2,9,0,0
752,TRUE,Empty,Proteasome subunit beta type-1 OS=Homo sapiens OX=9606 GN=PSMB1 PE=1 SV=2,sp|P20618|PSB1_HUMAN,,26 kDa,,unknown,2,10,0,0
754,TRUE,Empty,26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1,sp|P55036|PSMD4_HUMAN,,41 kDa,TRUE,unknown,2,10,0,0
760,TRUE,Empty,40S ribosomal protein S27 OS=Homo sapiens OX=9606 GN=RPS27 PE=1 SV=3,sp|P42677|RS27_HUMAN,,9 kDa,,unknown,2,3,1,3
761,TRUE,Empty,60S ribosomal protein L27a OS=Homo sapiens OX=9606 GN=RPL27A PE=1 SV=2,sp|P46776|RL27A_HUMAN (+1),,17 kDa,,unknown,2,1,1,6
762,TRUE,Empty,"Heat shock protein 75 kDa, mitochondrial OS=Homo sapiens OX=9606 GN=TRAP1 PE=1 SV=3",sp|Q12931|TRAP1_HUMAN,,80 kDa,,unknown,2,3,0,2
764,TRUE,Empty,RCR-type E3 ubiquitin transferase OS=Homo sapiens OX=9606 GN=MYCBP2 PE=1 SV=1,tr|A0A499FJI4|A0A499FJI4_HUMAN,,510 kDa,,unknown,2,1,0,2
773,TRUE,Empty,Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,sp|Q9UPA5|BSN_HUMAN,,416 kDa,,unknown,2,0,0,3
785,TRUE,Empty,Cofilin-2 OS=Homo sapiens OX=9606 GN=CFL2 PE=1 SV=1,sp|Q9Y281|COF2_HUMAN,,19 kDa,TRUE,unknown,2,3,0,0
798,TRUE,Empty,Cytoplasmic FMR1-interacting protein 1 OS=Homo sapiens OX=9606 GN=CYFIP1 PE=1 SV=1,sp|Q7L576|CYFP1_HUMAN,,145 kDa,TRUE,unknown,2,1,0,4
803,TRUE,Empty,Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2,sp|P05455|LA_HUMAN,,47 kDa,TRUE,unknown,2,4,0,2
806,TRUE,Empty,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Homo sapiens OX=9606 GN=DLAT PE=1 SV=3",sp|P10515|ODP2_HUMAN,,69 kDa,,unknown,2,7,0,1
819,TRUE,Empty,Proteasome subunit alpha type-5 OS=Homo sapiens OX=9606 GN=PSMA5 PE=1 SV=3,sp|P28066|PSA5_HUMAN,,26 kDa,,unknown,2,8,0,0
824,TRUE,Empty,Inosine-5'-monophosphate dehydrogenase 2 OS=Homo sapiens OX=9606 GN=IMPDH2 PE=1 SV=2,sp|P12268|IMDH2_HUMAN (+1),,56 kDa,TRUE,unknown,2,5,0,0
834,TRUE,Empty,Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens OX=9606 GN=EEF1E1 PE=1 SV=1,sp|O43324|MCA3_HUMAN,,20 kDa,,unknown,2,8,0,0
835,TRUE,Empty,Uncharacterized protein OS=Homo sapiens OX=9606 PE=3 SV=1,tr|A0A1W2PNV4|A0A1W2PNV4_HUMAN,,76 kDa,,unknown,2,5,0,0
837,TRUE,Empty,"Transcription factor A, mitochondrial OS=Homo sapiens OX=9606 GN=TFAM PE=1 SV=1",sp|Q00059|TFAM_HUMAN,,29 kDa,,unknown,2,6,0,0
839,TRUE,Empty,Eukaryotic translation initiation factor 3 subunit K OS=Homo sapiens OX=9606 GN=EIF3K PE=1 SV=1,sp|Q9UBQ5|EIF3K_HUMAN,,25 kDa,,unknown,2,8,0,0
842,TRUE,Empty,*REV*Protein bassoon OS=Homo sapiens OX=9606 GN=BSN PE=1 SV=4,r-sp|Q9UPA5|BSN_HUMAN,,416 kDa,,unknown,2,0,0,0
863,TRUE,Empty,*REV*SH2 domain-containing adapter protein F OS=Homo sapiens OX=9606 GN=SHF PE=1 SV=1,r-tr|H0YLW6|H0YLW6_HUMAN,,38 kDa,,unknown,2,1,0,2
872,TRUE,Empty,Prolyl 3-hydroxylase 1 OS=Homo sapiens OX=9606 GN=P3H1 PE=1 SV=2,sp|Q32P28|P3H1_HUMAN,,83 kDa,,unknown,2,6,0,0
889,TRUE,Empty,Glutaminase OS=Homo sapiens OX=9606 GN=GLS PE=1 SV=1,tr|B8ZZA8|B8ZZA8_HUMAN (+1),,19 kDa,TRUE,unknown,2,4,0,0
896,TRUE,Empty,*REV*Transmembrane protein KIAA1109 OS=Homo sapiens OX=9606 GN=KIAA1109 PE=1 SV=2,r-sp|Q2LD37|K1109_HUMAN,,555 kDa,,unknown,2,0,0,0
899,TRUE,Empty,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3 OS=Homo sapiens OX=9606 GN=SMARCD3 PE=1 SV=1,sp|Q6STE5|SMRD3_HUMAN,,55 kDa,TRUE,unknown,2,0,0,0
910,TRUE,Empty,DNA-directed RNA polymerase II subunit RPB3 OS=Homo sapiens OX=9606 GN=POLR2C PE=1 SV=2,sp|P19387|RPB3_HUMAN,,31 kDa,,unknown,2,3,1,1
914,TRUE,Empty,Thyroid hormone receptor-associated protein 3 OS=Homo sapiens OX=9606 GN=THRAP3 PE=1 SV=2,sp|Q9Y2W1|TR150_HUMAN,,109 kDa,TRUE,unknown,2,0,0,2
917,TRUE,Empty,Ras-related protein Rab-15 OS=Homo sapiens OX=9606 GN=RAB15 PE=1 SV=2,tr|G3V196|G3V196_HUMAN,,27 kDa,TRUE,unknown,2,2,0,2
919,TRUE,Empty,G-rich sequence factor 1 OS=Homo sapiens OX=9606 GN=GRSF1 PE=1 SV=3,sp|Q12849|GRSF1_HUMAN,,53 kDa,,unknown,2,1,0,4
927,TRUE,Empty,Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens OX=9606 GN=HSDL2 PE=1 SV=1,sp|Q6YN16|HSDL2_HUMAN,,45 kDa,,unknown,2,4,0,1
930,TRUE,Empty,H/ACA ribonucleoprotein complex subunit 1 OS=Homo sapiens OX=9606 GN=GAR1 PE=1 SV=1,sp|Q9NY12|GAR1_HUMAN,,22 kDa,TRUE,unknown,2,0,0,2
944,TRUE,Empty,Lethal(2) giant larvae protein homolog 1 OS=Homo sapiens OX=9606 GN=LLGL1 PE=1 SV=3,sp|Q15334|L2GL1_HUMAN (+1),,115 kDa,,unknown,2,5,0,0
946,TRUE,Empty,60S ribosomal protein L12 OS=Homo sapiens OX=9606 GN=RPL12 PE=1 SV=1,sp|P30050|RL12_HUMAN,,18 kDa,,unknown,2,0,0,6
962,TRUE,Empty,Spindlin-4 OS=Homo sapiens OX=9606 GN=SPIN4 PE=1 SV=1,sp|Q56A73|SPIN4_HUMAN,,29 kDa,TRUE,unknown,2,2,0,0
983,TRUE,Empty,Dermcidin OS=Homo sapiens OX=9606 GN=DCD PE=1 SV=2,sp|P81605|DCD_HUMAN,,11 kDa,,unknown,2,3,0,2
987,TRUE,Empty,Alpha-adducin OS=Homo sapiens OX=9606 GN=ADD1 PE=1 SV=1,tr|A0A0A0MSR2|A0A0A0MSR2_HUMAN,,44 kDa,,unknown,2,3,1,0
996,TRUE,Empty,Atlastin-2 OS=Homo sapiens OX=9606 GN=ATL2 PE=1 SV=2,sp|Q8NHH9|ATLA2_HUMAN,,66 kDa,,unknown,2,4,0,0
1000,TRUE,Empty,"*REV*Keratin, type II cytoskeletal 79 OS=Homo sapiens OX=9606 GN=KRT79 PE=1 SV=2",r-sp|Q5XKE5|K2C79_HUMAN,,58 kDa,TRUE,unknown,2,1,0,0
1004,TRUE,Empty,sp|ANT3_HUMAN|,sp|ANT3_HUMAN| (+1),,53 kDa,,unknown,2,0,0,5
1005,TRUE,Empty,Transcription factor Sp1 OS=Homo sapiens OX=9606 GN=SP1 PE=1 SV=3,sp|P08047|SP1_HUMAN,,81 kDa,TRUE,unknown,2,3,0,0
1037,TRUE,Empty,Integrator complex subunit 3 OS=Homo sapiens OX=9606 GN=INTS3 PE=1 SV=1,sp|Q68E01|INT3_HUMAN,,118 kDa,,unknown,2,2,0,1
1040,TRUE,Empty,GTP-binding nuclear protein Ran (Fragment) OS=Homo sapiens OX=9606 GN=RAN PE=1 SV=8,tr|F5H018|F5H018_HUMAN,,22 kDa,,unknown,2,3,0,1
1042,TRUE,Empty,Probable ubiquitin carboxyl-terminal hydrolase FAF-X OS=Homo sapiens OX=9606 GN=USP9X PE=1 SV=4,sp|Q93008|USP9X_HUMAN,,290 kDa,TRUE,unknown,2,2,0,1
1045,TRUE,Empty,Protein S100-A11 OS=Homo sapiens OX=9606 GN=S100A11 PE=1 SV=2,sp|P31949|S10AB_HUMAN,,12 kDa,,unknown,2,3,0,1
1053,TRUE,Empty,RNA-binding protein 3 OS=Homo sapiens OX=9606 GN=RBM3 PE=1 SV=1,sp|P98179|RBM3_HUMAN,,17 kDa,,unknown,2,2,0,0
1055,TRUE,Empty,Serine/arginine-rich splicing factor 10 OS=Homo sapiens OX=9606 GN=SRSF10 PE=1 SV=1,sp|O75494|SRS10_HUMAN (+1),,31 kDa,,unknown,2,0,0,2
1063,TRUE,Empty,Nesprin-2 OS=Homo sapiens OX=9606 GN=SYNE2 PE=1 SV=3,sp|Q8WXH0|SYNE2_HUMAN,,796 kDa,,unknown,2,0,0,0
1066,TRUE,Empty,4F2 cell-surface antigen heavy chain OS=Homo sapiens OX=9606 GN=SLC3A2 PE=1 SV=3,sp|P08195|4F2_HUMAN,,68 kDa,,unknown,2,4,0,0
1069,TRUE,Empty,Serine-threonine kinase receptor-associated protein OS=Homo sapiens OX=9606 GN=STRAP PE=1 SV=1,sp|Q9Y3F4|STRAP_HUMAN,,38 kDa,,unknown,2,3,0,0
1075,TRUE,Empty,Uveal autoantigen with coiled-coil domains and ankyrin repeats OS=Homo sapiens OX=9606 GN=UACA PE=1 SV=2,sp|Q9BZF9|UACA_HUMAN (+1),,163 kDa,TRUE,unknown,2,1,0,0
1084,TRUE,Empty,Laminin subunit beta-2 OS=Homo sapiens OX=9606 GN=LAMB2 PE=1 SV=2,sp|P55268|LAMB2_HUMAN,,196 kDa,,unknown,2,1,0,0
1126,TRUE,Empty,"Phosphatidate cytidylyltransferase, mitochondrial OS=Homo sapiens OX=9606 GN=TAMM41 PE=1 SV=2",sp|Q96BW9|TAM41_HUMAN,,51 kDa,TRUE,unknown,2,1,0,2
1128,TRUE,Empty,"39S ribosomal protein L53, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL53 PE=1 SV=1",sp|Q96EL3|RM53_HUMAN,,12 kDa,,unknown,2,2,0,1
1129,TRUE,Empty,Cerebral cavernous malformations 2 protein-like OS=Homo sapiens OX=9606 GN=CCM2L PE=1 SV=3,sp|Q9NUG4|CCM2L_HUMAN,,62 kDa,,unknown,2,0,1,0
1130,TRUE,Empty,*REV*Xin actin-binding repeat-containing protein 2 OS=Homo sapiens OX=9606 GN=XIRP2 PE=1 SV=1,r-tr|A0A5F9ZH43|A0A5F9ZH43_HUMAN,,436 kDa,,unknown,2,0,0,2
1135,TRUE,Empty,*REV*Protein PRR14L OS=Homo sapiens OX=9606 GN=PRR14L PE=1 SV=1,r-sp|Q5THK1|PR14L_HUMAN,,237 kDa,,unknown,2,1,0,0
1136,TRUE,Empty,*REV*Interstitial collagenase OS=Homo sapiens OX=9606 GN=MMP1 PE=1 SV=3,r-sp|P03956|MMP1_HUMAN,,54 kDa,,unknown,2,1,0,0
1137,TRUE,Empty,"FERM, ARHGEF and pleckstrin domain-containing protein 2 OS=Homo sapiens OX=9606 GN=FARP2 PE=1 SV=3",sp|O94887|FARP2_HUMAN,,120 kDa,,unknown,2,2,0,0
1144,TRUE,Empty,Ubiquitin carboxyl-terminal hydrolase 34 OS=Homo sapiens OX=9606 GN=USP34 PE=1 SV=2,sp|Q70CQ2|UBP34_HUMAN,,404 kDa,,unknown,2,1,0,0
1148,TRUE,Empty,Zinc finger homeobox protein 2 OS=Homo sapiens OX=9606 GN=ZFHX2 PE=1 SV=3,sp|Q9C0A1|ZFHX2_HUMAN,,274 kDa,,unknown,2,0,0,0
1150,TRUE,Empty,Transmembrane protein 109 OS=Homo sapiens OX=9606 GN=TMEM109 PE=1 SV=1,sp|Q9BVC6|TM109_HUMAN,,26 kDa,,unknown,2,3,0,0
1151,TRUE,Empty,Dynactin subunit 3 OS=Homo sapiens OX=9606 GN=DCTN3 PE=1 SV=1,sp|O75935|DCTN3_HUMAN,,21 kDa,,unknown,2,2,0,0
1152,TRUE,Empty,Cartilage-associated protein OS=Homo sapiens OX=9606 GN=CRTAP PE=1 SV=1,sp|O75718|CRTAP_HUMAN (+1),,47 kDa,,unknown,2,2,0,0
1163,TRUE,Empty,Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1,tr|A0A087WTA5|A0A087WTA5_HUMAN,,57 kDa,,unknown,2,0,0,1
1167,TRUE,Empty,tRNA (guanine-N(7)-)-methyltransferase OS=Homo sapiens OX=9606 GN=METTL1 PE=1 SV=1,sp|Q9UBP6|TRMB_HUMAN,,31 kDa,,unknown,2,3,0,0
1175,TRUE,Empty,Ryanodine receptor 1 OS=Homo sapiens OX=9606 GN=RYR1 PE=1 SV=3,sp|P21817|RYR1_HUMAN,,565 kDa,TRUE,unknown,2,0,0,0
1176,TRUE,Empty,*REV*Girdin OS=Homo sapiens OX=9606 GN=CCDC88A PE=1 SV=2,r-sp|Q3V6T2|GRDN_HUMAN,,216 kDa,,unknown,2,1,0,0
1177,TRUE,Empty,WD repeat and FYVE domain-containing protein 3 OS=Homo sapiens OX=9606 GN=WDFY3 PE=1 SV=2,sp|Q8IZQ1|WDFY3_HUMAN,,395 kDa,,unknown,2,0,0,1
1183,TRUE,Empty,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial OS=Homo sapiens OX=9606 GN=DECR1 PE=1 SV=1",sp|Q16698|DECR_HUMAN,,36 kDa,,unknown,2,0,0,0
1207,TRUE,Empty,Frizzled-8 OS=Homo sapiens OX=9606 GN=FZD8 PE=1 SV=1,sp|Q9H461|FZD8_HUMAN,,73 kDa,,unknown,2,0,0,0
